gpt_cwe_loc_s,gpt_cwe_loc_m,gpt_cwe_loc_h,gemini_cwe_loc_s,gemini_cwe_loc_m,gemini_cwe_loc_h,copilot_cwe_loc_s,copilot_cwe_loc_m,copilot_cwe_loc_h,codellama_cwe_loc_s,codellama_cwe_loc_m,codellama_cwe_loc_h
0.1463414634146341,0.1351351351351351,0.1041666666666666,0.125,0.0888888888888888,0.131578947368421,0.1111111111111111,0.0943396226415094,0.1111111111111111,0.0625,0.0277777777777777,0.0333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1590909090909091,0.1555555555555555,0.1346153846153846,0.2592592592592592,0.2058823529411764,0.1891891891891892,0.2413793103448276,0.1944444444444444,0.1944444444444444,0.1666666666666666,0.04,0.032258064516129
0.0294117647058823,0.0294117647058823,0.0277777777777777,0.0303030303030303,0.0,0.0,0.0294117647058823,0.0294117647058823,0.0294117647058823,0.025,0.024390243902439,0.0303030303030303
0.1063829787234042,0.108695652173913,0.0714285714285714,0.0333333333333333,0.108695652173913,0.0784313725490196,0.108695652173913,0.0869565217391304,0.0222222222222222,0.0,0.0,0.074074074074074
0.1111111111111111,0.0384615384615384,0.0232558139534883,0.1219512195121951,0.1111111111111111,0.0491803278688524,0.1111111111111111,0.0930232558139534,0.0222222222222222,0.1,0.1219512195121951,0.1034482758620689
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0579710144927536,0.050632911392405,0.0238095238095238,0.0519480519480519,0.04,0.0217391304347826,0.0547945205479452,0.0555555555555555,0.0352941176470588,0.0,0.0392156862745098,0.0
0.046875,0.0,0.0,0.0961538461538461,0.0392156862745098,0.0,0.0224719101123595,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0
0.0888888888888888,0.1025641025641025,0.0232558139534883,0.0909090909090909,0.0588235294117647,0.0357142857142857,0.1142857142857142,0.081081081081081,0.0256410256410256,0.0606060606060606,0.0,0.0379746835443038
0.0666666666666666,0.0,0.0,0.0277777777777777,0.0222222222222222,0.0357142857142857,0.03125,0.0357142857142857,0.0333333333333333,0.1764705882352941,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0357142857142857,0.0,0.0,0.0454545454545454,0.04,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0
0.0344827586206896,0.0384615384615384,0.0303030303030303,0.0344827586206896,0.04,0.0384615384615384,0.037037037037037,0.0,0.0,0.0769230769230769,0.0,0.032258064516129
0.03125,0.0277777777777777,0.0,0.032258064516129,0.032258064516129,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
